community_area_num,name,display_name,data_year,n_properties,n_submitted,n_not_submitted,site_energy_kbtu,ghg_tco2e,area_sqmi,kbtu_per_sqmi,share_not_submitted
1,ROGERS PARK,Rogers Park,2022,81,44,35,329836228,24436.2,1.838696,179385950,0.443
2,WEST RIDGE,West Ridge,2022,41,32,9,524896602,38609.2,3.530658,148668210.9,0.2195
3,UPTOWN,Uptown,2022,122,88,31,1106127776,84880,2.334985,473719458.1,0.2605
4,LINCOLN SQUARE,Lincoln Square,2022,26,21,5,363794060,31896.1,2.559413,142139669.1,0.1923
5,NORTH CENTER,North Center,2022,28,20,8,239532659,20386.2,2.046537,117042935.4,0.2857
6,LAKE VIEW,Lake View,2022,208,176,30,2608417225,195147.6,3.1284,833786231.1,0.1456
7,LINCOLN PARK,Lincoln Park,2022,154,137,15,1700607769,138333.1,3.167915,536822417.8,0.0987
8,NEAR NORTH SIDE,Near North Side,2022,569,497,63,13517361288,1209814.4,2.750369,4914744069.5,0.1125
9,EDISON PARK,Edison Park,2022,2,1,1,5822317,523.7,1.134797,5130714.1,0.5
10,NORWOOD PARK,Norwood Park,2022,21,19,2,494208148,40365.5,4.374681,112970100.8,0.0952
11,JEFFERSON PARK,Jefferson Park,2022,8,5,3,30861390,2183.2,2.326825,13263304.4,0.375
12,FOREST GLEN,Forest Glen,2022,9,3,6,34819070,3135.5,3.197131,10890724,0.6667
13,NORTH PARK,North Park,2022,23,18,5,190910011,17067.8,2.52126,75720068.3,0.2174
14,ALBANY PARK,Albany Park,2022,21,16,5,110708447,8779.3,1.920563,57643738.8,0.2381
15,PORTAGE PARK,Portage Park,2022,24,13,10,117522821,9054.7,3.952741,29731980.5,0.4348
16,IRVING PARK,Irving Park,2022,26,16,10,135033674,10008.1,3.214366,42009426.5,0.3846
17,DUNNING,Dunning,2022,21,14,7,146307815,12065.2,3.715959,39372824.4,0.3333
18,MONTCLARE,Montclare,2022,5,5,0,96232438,7632.4,0.989167,97286339.8,0
19,BELMONT CRAGIN,Belmont Cragin,2022,27,18,7,190974349,16103.1,3.913403,48800072,0.28
20,HERMOSA,Hermosa,2022,6,5,1,50214702,3985.8,1.169438,42939175.4,0.1667
21,AVONDALE,Avondale,2022,21,11,10,135116164,10944.1,1.983277,68127724.7,0.4762
22,LOGAN SQUARE,Logan Square,2022,59,40,16,306936585,27174.7,3.589071,85519778,0.2857
23,HUMBOLDT PARK,Humboldt Park,2022,32,22,5,230000702,20512.3,3.604255,63813650.9,0.1852
24,WEST TOWN,West Town,2022,108,68,28,885546914,73663.6,4.57569,193532995.9,0.2917
25,AUSTIN,Austin,2022,56,25,18,186761813,14381.7,7.147261,26130543,0.4186
26,WEST GARFIELD PARK,West Garfield Park,2022,14,3,5,40097342,3101.2,1.294653,30971502,0.625
27,EAST GARFIELD PARK,East Garfield Park,2022,28,14,3,94852250,8370.9,1.932795,49075183.8,0.1765
28,NEAR WEST SIDE,Near West Side,2022,309,249,46,5810171747,551194.6,5.685135,1021993635.3,0.1559
29,NORTH LAWNDALE,North Lawndale,2022,31,13,7,219348587,18344.3,3.20992,68334605.1,0.35
30,SOUTH LAWNDALE,South Lawndale,2022,22,20,1,759286057,60229.7,4.591307,165374702.4,0.0476
31,LOWER WEST SIDE,Lower West Side,2022,23,12,4,99960708,8635.2,2.92523,34171917.5,0.25
32,LOOP,Loop,2022,374,306,59,11761712707,1124362.6,1.66206,7076588541.6000004,0.1616
33,NEAR SOUTH SIDE,Near South Side,2022,107,88,15,4173724587,223639.1,1.78524,2337906499.3000002,0.1456
