hex_id,data_year,n_properties,n_submitted,n_not_submitted,site_energy_kbtu,ghg_tco2e,area_sqmi,kbtu_per_sqmi
r1598c915,2022,1,1,0,6775914,488.8,0.0535,126653378.3
r1599c902,2022,1,0,0,,,0.0535,
r1599c914,2022,1,1,0,7073030,517.8,0.0535,132206982.6
r1600c904,2022,1,0,0,,,0.0535,
r1600c913,2022,1,0,1,,,0.0535,
r1601c902,2022,1,1,0,157235860,11050.6,0.0535,2939006141.5999999
r1604c896,2022,1,0,0,,,0.0535,
r1604c898,2022,1,0,0,,,0.0535,
r1605c899,2022,1,1,0,12996056,781.1,0.0535,242918431
r1606c894,2022,1,1,0,2898842,256.6,0.0535,54184296.4
r1606c895,2022,1,0,1,,,0.0535,
r1607c889,2022,1,1,0,8415634,802.5,0.0535,157302539.1
r1607c891,2022,1,1,0,23977255,1999.2,0.0535,448175751.4
r1608c889,2022,2,1,1,19335791,1739,0.0535,361418880.5
r1608c893,2022,1,1,0,2340325,277.4,0.0535,43744662
r1608c915,2022,1,1,0,16582265,1598.4,0.0535,309950787.8
r1609c876,2022,1,1,0,16018700,1245.1,0.0535,299416797.7
r1609c877,2022,1,1,0,27229300,1948.4,0.0535,508962013.7
r1609c885,2022,1,0,1,,,0.0535,
r1609c886,2022,1,1,0,13941476,1008.6,0.0535,260589941.7
r1609c891,2022,1,0,0,,,0.0535,
r1609c893,2022,2,0,0,,,0.0535,
r1609c895,2022,1,1,0,10232919,824.3,0.0535,191270692.2
r1609c897,2022,1,0,1,,,0.0535,
r1609c898,2022,1,0,0,,,0.0535,
r1610c878,2022,1,1,0,21358409,1976.8,0.0535,399225057.3
r1610c886,2022,1,1,0,11364695,1496.9,0.0535,212425514.1
r1610c888,2022,1,1,0,5140572,346.1,0.0535,96086049.8
r1610c895,2022,1,0,0,,,0.0535,
r1610c901,2022,1,0,0,,,0.0535,
r1610c915,2022,1,1,0,25327024,1884.8,0.0535,473405233.9
r1611c888,2022,1,1,0,12666399,1202.5,0.0535,236756579.9
r1611c890,2022,1,0,0,,,0.0535,
r1611c901,2022,1,1,0,5345709,500.2,0.0535,99920409.9
r1612c881,2022,1,1,0,7980515,645,0.0535,149169423.6
r1612c886,2022,1,1,0,5159467,382.7,0.0535,96439229.6
r1612c888,2022,1,0,1,,,0.0535,
r1612c894,2022,1,1,0,11307589,831.3,0.0535,211358105.7
r1612c897,2022,1,1,0,5427229,443.8,0.0535,101444157.6
r1612c899,2022,1,1,0,26691703,2237.4,0.0535,498913409.7
r1612c903,2022,1,0,1,,,0.0535,
r1613c896,2022,2,2,0,10326466,806.2,0.0535,193019245.1
r1613c900,2022,1,1,0,132277560,7160.1,0.0535,2472492987.5
r1613c903,2022,2,1,1,4526114,499.5,0.0535,84600782.8
r1613c916,2022,1,1,0,5313660,421.1,0.0535,99321359.5
r1614c910,2022,1,0,0,,,0.0535,
r1615c877,2022,1,0,1,,,0.0535,
r1615c891,2022,1,0,0,,,0.0535,
r1615c892,2022,1,0,0,,,0.0535,
r1615c896,2022,1,1,0,9348685,951.4,0.0535,174742852.1
