id,data_year,property_name,address,zip_code,community_area,community_area_num,primary_property_type,reporting_status,status,exempt_from_chicago_energy_rating,gross_floor_area_buildings_sq_ft,year_built,of_buildings,water_use_kgal,energy_star_score,electricity_use_kbtu,natural_gas_use_kbtu,district_steam_use_kbtu,district_chilled_water_use_kbtu,all_other_fuel_use_kbtu,site_eui_kbtu_sq_ft,source_eui_kbtu_sq_ft,weather_normalized_site_eui_kbtu_sq_ft,weather_normalized_source_eui_kbtu_sq_ft,total_ghg_emissions_metric_tons_co2e,ghg_intensity_kg_co2e_sq_ft,chicago_energy_rating,site_energy_kbtu,site_energy_basis,fuel_sum_kbtu,eui_x_gfa_kbtu,ratio_to_eui_x_gfa,gfa_consistent
100001,2022,Presence SMEMC St Elizabeth Campus,1431 N Claremont Ave,60622,WEST TOWN,24,Mixed Use Property,Submitted Data,submitted,true,505417,1928,3,,,16795066.2,33899078.5,0,0,,164,267.3,164.7,265.2,4012.7,13,,50694145,fuel_sum,50694144.7,82888388,0.611595,false
100002,2022,Clemente Community Academy HS -CPS,1147 N Western Ave,60622,WEST TOWN,24,,Exempt,exempt,true,354518,,,,,,,,,,,,,,,,,,,,,,
100019,2022,Dixon Building,411 - 415 S Wells St,60607,LOOP,32,Office,Submitted Data,submitted,false,58200,1908,1,,75,1641381.8,2465232.2,0,0,,70.6,123.4,73.2,126.2,347.1,6,3.5,4106614,fuel_sum,4106614,4108920,0.999439,true
100068,2022,Joffco Square,555 W Roosevelt Rd,60607,NEAR WEST SIDE,28,Other - Mall,Submitted Data,submitted,false,158703,2008,1,,,8354489.4,331613,0,0,,108.3,296,108,294.8,1118,13.9,2,8686102,fuel_sum,8686102.4,17187535,0.505372,false
100148,2022,,7144 7148 S JEFFERY BLVD,60649,SOUTH SHORE,43,,Not Submitted,not_submitted,false,68912,,,,,,,,,,,,,,,,0,,,,,,
100179,2022,Saint Anthony Hospital - Main Hospital,2875 W 19th St,60623,SOUTH LAWNDALE,30,Hospital (General Medical & Surgical),Submitted Data,submitted,false,450612,1897,1,,,15191302.2,0,0,0,,,,,,,,0,,,15191302.2,,,
100211,2022,,73 E LAKE ST,60601,LOOP,32,Multifamily Housing,Submitted Data,submitted,false,407921,2014,1,,36,12253233.4,14931549.6,0,0,,91.1,167.4,91.9,166.7,2407,8.1,1.5,27184783,fuel_sum,27184783,37161603,0.731529,false
100252,2022,,10426  S MICHIGAN AVE,60628,ROSELAND,49,Multifamily Housing,Submitted Data,submitted,false,47039,2011,1,,92,1550327.6,110041.9,0,0,,35.3,94.7,34.2,91.3,210,4.5,4,1660370,fuel_sum,1660369.5,1660477,0.999936,true
100256,2022,Curie Metropolitan HS -CPS,4975 S Archer Ave,60632,ARCHER HEIGHTS,57,K-12 School,Submitted Data,submitted,false,415577,1973,2,,29,20678665.1,10705570.4,0,0,,75.5,166.4,76.9,168.7,3292.3,7.9,1,31384236,fuel_sum,31384235.5,31376064,1.00026,true
100317,2022,,5500 5518 S WABASH AVE,60637,WASHINGTON PARK,40,Multifamily Housing,Submitted Data,submitted,false,72332,1904,1,,74,692673.5,5840269.3,0,0,,90.3,111.6,92.7,113.1,401.4,5.5,4,6532943,fuel_sum,6532942.8,6531580,1.000209,true
100320,2022,,4039 4051 N LAPORTE AVE,60641,PORTAGE PARK,15,Multifamily Housing,Submitted Data,submitted,false,96000,1934,1,,92,341019.2,5283299.8,0,0,,58.6,67.7,61.2,70.2,325.5,3.4,4,5624319,fuel_sum,5624319,5625600,0.999772,true
100332,2022,Lindblom College Prep -CPS,6130 S Wolcott Ave,60636,WEST ENGLEWOOD,67,K-12 School,Submitted Data,submitted,false,305788,1919,1,,64,6522703.1,16611688.9,0,0,,75.7,116.8,78,119.2,1741.5,5.7,3,23134392,fuel_sum,23134392,23148152,0.999406,true
100334,2022,,860  N DEWITT PL,60611,NEAR NORTH SIDE,8,,Not Submitted,not_submitted,false,136600,,,,,,,,,,,,,,,,0,,,,,,
100346,2022,,2609 W BELMONT AVE,60618,AVONDALE,21,Multifamily Housing,Submitted Data,submitted,false,104796,2013,1,,99,1593052.3,2236680,0,0,,43.9,78.1,45.3,78.8,328.6,3.8,4,3829732,fuel_sum,3829732.3,4600544,0.832452,false
100372,2022,Holy Cross Hospial,2701 W 68th St,60629,CHICAGO LAWN,66,Hospital (General Medical & Surgical),Submitted Data,submitted,false,442222,1963,4,,47,31065775.4,120876421.7,-11882688.3,0,,341.7,487,341.5,486.3,9723.1,23.7,2,140059509,fuel_sum,140059508.8,151107257,0.926888,false
100375,2022,,3600 3612 W FRANKLIN BLVD,60624,HUMBOLDT PARK,23,Multifamily Housing,Submitted Data,submitted,false,63514,1917,1,,63,799196.2,4425856.3,0,0,,82.3,108.4,84.4,109.2,340.3,5.4,4,5225053,fuel_sum,5225052.5,5227202,0.999589,true
