id,footprint_ids,coordinate,note,source,verified_on
101551,380881;815561;815562;836794,row_2022,"McCormick Place (Metropolitan Pier and Exposition Authority, 10 buildings): the four halls the footprint layer names McCormick Place North Building, South Building, West Building and Lakeside Center. Every row for this id names Armour Square. The 2014-2021 rows read '301 Cermak Road' and sit at 301 W Cermak, a point that passed the community-area test only because the stated area is wrong as well; the tiers then attached a 2,765 sq ft building on S Archer. The 2022 row's point is 29 m from the West Building and fails the test for the same reason.",syp8-uezg bldg_name1 and address ranges; xq83-jr8c rows 2014-2022,2026-09-21
256838,815641;815642;825184;893176,row_2022,"UChicago Medicine campus (25 buildings), which reports as one property from 2020. Its component buildings reported separately in 2019 (ids 102451, 160954, 250124-250128, 251949, 251952, 251953, 251955, 251956) and matched these four footprints, four of them by address at high confidence: the connected complex the layer names University of Chicago / Wylers Childrens Hospital, the Center for Advanced Medicine, Comer Children's Hospital and the Center for Care and Discovery. None of those ids is in the 2022 release, so nothing is counted twice. The 2022 row names no community area, so its point (4 m from the main complex) could not take the test.",syp8-uezg bldg_name1 and address ranges; xq83-jr8c 2019 and 2022 rows,2026-09-21
256960,364553,row_2022,"Same building as id 159288 (1926-1960 W Harrison, Medical Center Apartments / Atrio Apartments): identical gross floor area (258,445 sq ft) and year built (1964). 159288 is listed as not submitted for 2022 while this id reported, so the release counts the building once each way. The layer gives this footprint 19 stories on 13,568 sq ft, which matches the floor area. The 2022 row names no community area; its point is 26 m from the footprint.",syp8-uezg; xq83-jr8c rows for ids 159288 and 256960,2026-09-21
256728,,row_2022,"Built 2020, after the 2015 footprint layer. The 2022 row names no community area; its point is at Harrison and Wells in the Loop, on a site with no 2015 footprint within 60 m, and the covered list names the Loop.",syp8-uezg; xq83-jr8c 2022 row; g5i5-yz37,2026-09-21
256831,,row_2022,"Built 2020, after the 2015 footprint layer. The 2022 row names no community area; its point is 3 m from the 2015 footprint addressed 2111-2113 S Wabash, the building it replaced.",syp8-uezg; xq83-jr8c 2022 row,2026-09-21
257029,,row_2022,"Built 2021, after the 2015 footprint layer. The 2022 row names no community area; its point is 8 m from the 2015 footprint addressed 808-810 N Wells.",syp8-uezg; xq83-jr8c 2022 row,2026-09-21
256630,,row_2022,"Built 2017, after the 2015 footprint layer. The 2022 row names no community area; its point is 1 m from the 2015 footprint addressed 8 E Huron.",syp8-uezg; xq83-jr8c 2022 row,2026-09-21
256727,,row_2022,"Built 2020, after the 2015 footprint layer. The 2022 row names no community area; its point lies between the 2015 footprints addressed 1212 and 1226-1230 W Jackson, 33 m and 29 m away.",syp8-uezg; xq83-jr8c 2022 row,2026-09-21
256954,,row_2022,"Built 2021, after the 2015 footprint layer. The 2022 row names no community area; its point is 1 m from the 2015 footprint addressed 945 W Dakin.",syp8-uezg; xq83-jr8c 2022 row,2026-09-21
256729,,row_2022,"Built 2016, after the 2015 footprint layer. The 2022 row names no community area; its point is on the even side of the 6000 block of S Karlov, 29 m from the houses at 6017-6019 across the street, and the covered list names West Lawn.",syp8-uezg; xq83-jr8c 2022 row; g5i5-yz37,2026-09-21
256607,,row_2022,"Built 2020, after the 2015 footprint layer. The 2022 row names no community area; its point is 4 m from the 2015 footprint addressed 6145-6149 N Broadway.",syp8-uezg; xq83-jr8c 2022 row,2026-09-21
256835,,row_2022,"Built 2018, after the 2015 footprint layer. The 2022 row names no community area; its point is 12 m from the 2015 footprint addressed 1746 N Western.",syp8-uezg; xq83-jr8c 2022 row,2026-09-21
256645,,row_2022,"Built 2019, after the 2015 footprint layer. The 2022 row names no community area; its point is 3 m from the 2015 footprint addressed 1415 S Wabash.",syp8-uezg; xq83-jr8c 2022 row,2026-09-21
256646,,,"Reviewed; no location can be verified. The address reads '51 E 145h Street'; the covered list has 51 E 14th Street, where the 2015 layer has no footprint. The only 2022 point is about 1.5 km west, beside S Jefferson, so it is not this building.",syp8-uezg; xq83-jr8c 2020-2022 rows; g5i5-yz37,2026-09-21
256841,,,"Reviewed; no location can be verified. '1649 Broadway' falls in no range of the 2015 layer, whose Broadway numbers start at 2813 N, and no row names a community area. The 2020-2021 point sits on W Belmont near Lincoln and cannot be tied to the address.",syp8-uezg; xq83-jr8c 2020-2022 rows,2026-09-21
256674,318645,,"Cityview Lofts, 1259 N Wood St (50,590 sq ft, one building). The only footprint whose range holds 1259 on N Wood is 318645, 4 stories on 9,940 sq ft, which fits the floor area. The year guard turned it away (1922 against a reported 1909) and, with no coordinate that passes the test, T3 attached 1260 N Wood across the street, 1,183 sq ft.",syp8-uezg address ranges and stories; xq83-jr8c 2022 row,2026-09-21
