id,match_method,match_confidence,footprint_ids,verdict,reason,reviewed_on
100418,T1,high,768020,correct,"768020 (1744 W Pryor) holds the number, coordinate inside; 3 stories x 109,176 sq ft holds all floor area; no second building within 80 m.",2026-09-21
101567,T1,high,360441,correct,"360441 at 53 W Jackson, 17 stories vs 17.2 implied floors; footprint name matches.",2026-09-21
101691,T1,high,243726,correct,"243726 2701-2711 N Mildred holds exact range, coordinate inside; 16,217 sq ft at 3.8 implied floors plausible; neighbors are small houses.",2026-09-21
101869,T1,high,351057,correct,"351057 at 333 N Dearborn holds the number, 6 m from coordinate; hotel-labeled footprint; floor area well within 13 stories.",2026-09-21
102032,T1,high,861579,correct,"861579 at 450 W Briar, 1 m from coordinate; largest footprint nearby; 10 implied floors plausible.",2026-09-21
102825,T1,high,118200,correct,"118200 range 4510-4518 N Ashland equals property range; 5.9 implied floors on 3 stories is high, but no better candidate.",2026-09-21
103264,T1,high,402044,correct,"402044 at 2941 S Michigan holds the number, 11 m from coordinate; 4.7 implied floors plausible.",2026-09-21
103643,T1,high,353237,correct,"353237 at 180 N La Salle, 39 stories vs 41 implied floors; footprint name matches.",2026-09-21
104100,T1,high,140366,correct,"140366 at 711 W Gordon Ter, coordinate inside; 9 stories vs 10.4 implied floors.",2026-09-21
104288,T1,high,195776,correct,"195776 range 452-500 W Aldine, 3 m; 5.6 implied floors on 4 stories, modest excess; year gap not decisive.",2026-09-21
104789,T1,high,850989,correct,"850989 at 2322 N Commonwealth, 4 m from coordinate; 5 stories vs 6.0 implied floors.",2026-09-21
105983,T1,high,858579,correct,"858579 at 1330 N Dearborn, 5 m; 16 stories vs 19.3 implied, within normal excess.",2026-09-21
110743,T1,medium,836039,correct,"836039 at 30 W Oak, coordinate inside; 24 implied floors vs layer's 12 stories, but only townhouses and small fragments nearby.",2026-09-21
111157,T1,high,848455,correct,"848455 range 3963-3985 W Belmont, coordinate inside; 7.4 implied floors on unknown stories; no better candidate.",2026-09-21
111695,T1,high,261747,correct,"261747 range 399-401 W Fullerton, 18 stories; floor area within capacity (12.8 implied).",2026-09-21
112437,T1,high,197897,correct,197897 at 415 W Aldine holds the number; 17 stories vs 17.6 implied; coordinate falls in adjoining 3270 N Sheridan.,2026-09-21
113086,T1,high,357286,correct,"357286 range 1001-1015 W Madison, 9 m from coordinate; 7.1 implied floors on unknown stories plausible.",2026-09-21
